data,evento,time_a,time_b,vencedor,resultado,mapa_1,rounds_time_a_mapa_1,rounds_time_b_mapa_1,mapa_2,rounds_time_a_mapa_2,rounds_time_b_mapa_2,mapa_3,rounds_time_a_mapa_3,rounds_time_b_mapa_3,mapa_4,rounds_time_a_mapa_4,rounds_time_b_mapa_4,mapa_5,rounds_time_a_mapa_5,rounds_time_b_mapa_5
2025-05-04,VCT 25: AMER Stage 1,G2,SEN,G2,3-1,Haven,13,9,Split,13,9,Pearl,10,13,Ascent,13,10,,,
2025-05-03,VCT 25: AMER Stage 1,G2,MIBR,G2,3-1,Haven,10,13,Lotus,15,13,Split,13,10,Ascent,13,8,,,
2025-05-02,VCT 25: AMER Stage 1,G2,EG,G2,2-1,Lotus,9,13,Split,13,7,Pearl,13,11,,,,,,
2025-04-27,VCT 25: AMER Stage 1,G2,100T,G2,2-1,Haven,13,4,Split,12,14,Pearl,16,14,,,,,,
2025-04-26,VCT 25: AMER Stage 1,G2,SEN,SEN,1-2,Split,13,5,Icebox,11,13,Ascent,11,13,,,,,,
2025-04-18,VCT 25: AMER Stage 1,G2,C9,G2,2-1,Icebox,13,5,Haven,4,13,Pearl,13,11,,,,,,
2025-04-11,VCT 25: AMER Stage 1,G2,LEV,G2,2-1,Lotus,13,10,Fracture,11,13,Haven,13,7,,,,,,
2025-04-05,VCT 25: AMER Stage 1,G2,NRG,G2,2-0,Lotus,13,1,Ascent,13,6,,,,,,,,,
2025-03-28,VCT 25: AMER Stage 1,G2,MIBR,G2,2-1,Pearl,12,14,Haven,13,11,Ascent,13,8,,,,,,
2025-03-22,VCT 25: AMER Stage 1,G2,FUR,G2,2-0,Lotus,13,10,Ascent,13,7,,,,,,,,,
2025-03-02,VCT 25: Masters Bangkok,G2,T1,T1,2-3,Lotus,13,5,Haven,9,13,Abyss,13,11,Split,13,15,Pearl,14,16
2025-02-28,VCT 25: Masters Bangkok,G2,EDG,G2,2-0,Lotus,13,8,Split,13,7,,,,,,,,,
2025-02-27,VCT 25: Masters Bangkok,G2,VIT,G2,2-0,Bind,15,13,Lotus,13,9,,,,,,,,,
2025-02-24,VCT 25: Masters Bangkok,G2,TL,G2,2-0,Haven,13,5,Lotus,13,7,,,,,,,,,
2025-02-22,VCT 25: Masters Bangkok,G2,EDG,EDG,1-2,Pearl,18,16,Bind,8,13,Fracture,4,13,,,,,,
2025-02-21,VCT 25: Masters Bangkok,G2,TE,G2,2-0,Lotus,13,8,Abyss,13,3,,,,,,,,,
2025-02-08,VCT 25: AMER Kickoff,G2,SEN,G2,3-2,Split,4,13,Pearl,13,8,Abyss,9,13,Fracture,13,5,Haven,13,10
2025-02-06,VCT 25: AMER Kickoff,G2,SEN,G2,2-0,Abyss,13,7,Pearl,13,7,,,,,,,,,
2025-01-31,VCT 25: AMER Kickoff,G2,LEV,G2,2-0,Pearl,13,5,Fracture,13,9,,,,,,,,,
2025-01-19,VCT 25: AMER Kickoff,G2,C9,G2,2-0,Lotus,13,6,Abyss,13,8,,,,,,,,,
2025-05-04,VCT 25: AMER Stage 1,SEN,G2,G2,1-3,Haven,9,13,Split,9,13,Pearl,13,10,Ascent,10,13,,,
2025-05-02,VCT 25: AMER Stage 1,SEN,MIBR,SEN,2-0,Lotus,13,7,Split,13,11,,,,,,,,,
